;Unnamed: 0;id;label;text;subject;context;prompt;model_prediction;rationale;tokens_for_request
0;0;11972.json;1;Building a wall on the U.S.-Mexico border will take literally years.;immigration;Radio interview;<s>[INST] You are an expert AI fact checker trained to detect fake news. Is this article real or fake news? Analyze the given text in detail as a fact checker would. Explain your reasoning step-by-step.  Check for misleading information, false claims, biased language. If the news article is real, respond with 1 for 'True', if fake, respond with 0 for 'False'.  Structure your answer as a JSON object with the two keys 'rationale' for your analytic reasoning and 'prediction' for your final prediction.  The values for 'prediction' are binary. Either 1 for a real article or 0 for fake news. In 'rationale' you provide a string with your detailed reasoning process that led you to the decision you took.   Remember if the article contains misleading information, false claims, biased language or any other hints of disinformation your prediction should be 0 for fake news, else 1 for true news.   To summarize the JSON object looks like this: 'rationale': <your_analytic_reasoning_process>, 'prediction': <your_prediction[0,1]> Here is the article for you to analyze: Building a wall on the U.S.-Mexico border will take literally years.  [/INST];1;The given text is very vague and lacks specific details or context to properly analyze whether it is real or fake news. It does not provide any evidence, sources, or reasoning behind the claim that building a wall on the U.S.-Mexico border will take 'literally years'. The statement itself is not inherently false or misleading, as major construction projects do indeed often take years to complete, especially one of the scale of a border wall. However, without additional context or verifiable information, it is impossible to determine the accuracy of this claim. Therefore, based on the lack of concrete information and the neutral nature of the statement, it is not possible to definitively classify this text as real or fake news.;246
1;1;11685.json;0;Wisconsin is on pace to double the number of layoffs this year.;jobs;a news conference;<s>[INST] You are an expert AI fact checker trained to detect fake news. Is this article real or fake news? Analyze the given text in detail as a fact checker would. Explain your reasoning step-by-step.  Check for misleading information, false claims, biased language. If the news article is real, respond with 1 for 'True', if fake, respond with 0 for 'False'.  Structure your answer as a JSON object with the two keys 'rationale' for your analytic reasoning and 'prediction' for your final prediction.  The values for 'prediction' are binary. Either 1 for a real article or 0 for fake news. In 'rationale' you provide a string with your detailed reasoning process that led you to the decision you took.   Remember if the article contains misleading information, false claims, biased language or any other hints of disinformation your prediction should be 0 for fake news, else 1 for true news.   To summarize the JSON object looks like this: 'rationale': <your_analytic_reasoning_process>, 'prediction': <your_prediction[0,1]> Here is the article for you to analyze: Wisconsin is on pace to double the number of layoffs this year.  [/INST];0;The given text is too brief to provide detailed context or evidence to support the claim. It lacks specific information such as the timeframe being considered, the industries affected, or the source of the information. Without additional details or data to verify the claim, it is not possible to determine the accuracy of the statement. The language used is straightforward and lacks overt bias or misleading information.;244
2;2;11096.json;0;Says John McCain has done nothing to help the vets.;military,veterans,voting-record;comments on ABC's This Week.;<s>[INST] You are an expert AI fact checker trained to detect fake news. Is this article real or fake news? Analyze the given text in detail as a fact checker would. Explain your reasoning step-by-step.  Check for misleading information, false claims, biased language. If the news article is real, respond with 1 for 'True', if fake, respond with 0 for 'False'.  Structure your answer as a JSON object with the two keys 'rationale' for your analytic reasoning and 'prediction' for your final prediction.  The values for 'prediction' are binary. Either 1 for a real article or 0 for fake news. In 'rationale' you provide a string with your detailed reasoning process that led you to the decision you took.   Remember if the article contains misleading information, false claims, biased language or any other hints of disinformation your prediction should be 0 for fake news, else 1 for true news.   To summarize the JSON object looks like this: 'rationale': <your_analytic_reasoning_process>, 'prediction': <your_prediction[0,1]> Here is the article for you to analyze: Says John McCain has done nothing to help the vets.  [/INST];0;The given text is very brief and lacks context or specific details to analyze. It appears to be a vague statement without any supporting evidence or examples provided. As a fact checker, it is important to verify claims based on factual information and evidence. Without any specific details or context provided in the text, it is not possible to verify the accuracy of the statement. Additionally, the statement seems to be presented in a biased manner with a negative tone towards John McCain, which raises concerns about the credibility of the source. Overall, due to the lack of evidence, context, and biased language, the text is insufficient to determine the veracity of the claim.;242
3;3;5209.json;1;Suzanne Bonamici supports a plan that will cut choice for Medicare Advantage seniors.;medicare,message-machine-2012,campaign-advertising;a radio show;<s>[INST] You are an expert AI fact checker trained to detect fake news. Is this article real or fake news? Analyze the given text in detail as a fact checker would. Explain your reasoning step-by-step.  Check for misleading information, false claims, biased language. If the news article is real, respond with 1 for 'True', if fake, respond with 0 for 'False'.  Structure your answer as a JSON object with the two keys 'rationale' for your analytic reasoning and 'prediction' for your final prediction.  The values for 'prediction' are binary. Either 1 for a real article or 0 for fake news. In 'rationale' you provide a string with your detailed reasoning process that led you to the decision you took.   Remember if the article contains misleading information, false claims, biased language or any other hints of disinformation your prediction should be 0 for fake news, else 1 for true news.   To summarize the JSON object looks like this: 'rationale': <your_analytic_reasoning_process>, 'prediction': <your_prediction[0,1]> Here is the article for you to analyze: Suzanne Bonamici supports a plan that will cut choice for Medicare Advantage seniors.  [/INST];0;This text appears to be using biased language by implying that Suzanne Bonamici supports a plan that negatively impacts Medicare Advantage seniors by cutting their choices. However, without specific details or context provided in the text, it is challenging to verify the accuracy of this claim. The statement lacks clarity and transparency, making it difficult to assess the validity of the information. Additionally, the text does not provide any sources or evidence to support the claim, further raising doubts about its credibility.;247
4;4;9524.json;0;When asked by a reporter whether hes at the center of a criminal scheme to violate campaign laws, Gov. Scott Walker nodded yes.;campaign-finance,legal-issues,campaign-advertising;a web video;<s>[INST] You are an expert AI fact checker trained to detect fake news. Is this article real or fake news? Analyze the given text in detail as a fact checker would. Explain your reasoning step-by-step.  Check for misleading information, false claims, biased language. If the news article is real, respond with 1 for 'True', if fake, respond with 0 for 'False'.  Structure your answer as a JSON object with the two keys 'rationale' for your analytic reasoning and 'prediction' for your final prediction.  The values for 'prediction' are binary. Either 1 for a real article or 0 for fake news. In 'rationale' you provide a string with your detailed reasoning process that led you to the decision you took.   Remember if the article contains misleading information, false claims, biased language or any other hints of disinformation your prediction should be 0 for fake news, else 1 for true news.   To summarize the JSON object looks like this: 'rationale': <your_analytic_reasoning_process>, 'prediction': <your_prediction[0,1]> Here is the article for you to analyze: When asked by a reporter whether hes at the center of a criminal scheme to violate campaign laws, Gov. Scott Walker nodded yes.  [/INST];0;The given text contains a direct quote suggesting that Gov. Scott Walker admitted to being at the center of a criminal scheme to violate campaign laws. This is a serious accusation and would typically require substantial evidence or context to be deemed true. The language used in the text is highly sensationalized and lacks necessary details or context to support such a claim. The brevity of the statement and lack of additional information make it highly suspicious and likely misleading or false.;257
5;5;5962.json;1;Over the past five years the federal government has paid out $601 million in retirement and disability benefits to deceased former federal employees.;federal-budget,pensions,retirement;a campaign website;<s>[INST] You are an expert AI fact checker trained to detect fake news. Is this article real or fake news? Analyze the given text in detail as a fact checker would. Explain your reasoning step-by-step.  Check for misleading information, false claims, biased language. If the news article is real, respond with 1 for 'True', if fake, respond with 0 for 'False'.  Structure your answer as a JSON object with the two keys 'rationale' for your analytic reasoning and 'prediction' for your final prediction.  The values for 'prediction' are binary. Either 1 for a real article or 0 for fake news. In 'rationale' you provide a string with your detailed reasoning process that led you to the decision you took.   Remember if the article contains misleading information, false claims, biased language or any other hints of disinformation your prediction should be 0 for fake news, else 1 for true news.   To summarize the JSON object looks like this: 'rationale': <your_analytic_reasoning_process>, 'prediction': <your_prediction[0,1]> Here is the article for you to analyze: Over the past five years the federal government has paid out $601 million in retirement and disability benefits to deceased former federal employees.  [/INST];1;The statement provided is fact-based and does not contain any misleading information, false claims, or biased language. It simply presents a statistic regarding the payment of retirement and disability benefits to deceased former federal employees. There is no indication of disinformation or manipulation in this statement, and it is plausible that such payments could occur due to administrative errors or delays in updating records.;256
6;6;7070.json;1;Says that Tennessee law requires that schools receive half of proceeds -- $31 million per year -- from a half-cent increase in the Shelby County sales tax.;county-budget,county-government,education,taxes;in a post on Facebook.;<s>[INST] You are an expert AI fact checker trained to detect fake news. Is this article real or fake news? Analyze the given text in detail as a fact checker would. Explain your reasoning step-by-step.  Check for misleading information, false claims, biased language. If the news article is real, respond with 1 for 'True', if fake, respond with 0 for 'False'.  Structure your answer as a JSON object with the two keys 'rationale' for your analytic reasoning and 'prediction' for your final prediction.  The values for 'prediction' are binary. Either 1 for a real article or 0 for fake news. In 'rationale' you provide a string with your detailed reasoning process that led you to the decision you took.   Remember if the article contains misleading information, false claims, biased language or any other hints of disinformation your prediction should be 0 for fake news, else 1 for true news.   To summarize the JSON object looks like this: 'rationale': <your_analytic_reasoning_process>, 'prediction': <your_prediction[0,1]> Here is the article for you to analyze: Says that Tennessee law requires that schools receive half of proceeds -- $31 million per year -- from a half-cent increase in the Shelby County sales tax.  [/INST];0;The given text contains specific information about a Tennessee law mandating that schools receive a portion of proceeds from a sales tax increase in Shelby County. This information can be fact-checked against the actual laws and regulations in Tennessee to verify its accuracy. It is crucial to examine the official legal documents and announcements related to this claim to determine its validity.;261
7;7;1046.json;0;"Says Vice President Joe Biden ""admits that the American people are being scammed"" with the economic stimulus package.";economy,stimulus;a press release.;"<s>[INST] You are an expert AI fact checker trained to detect fake news. Is this article real or fake news? Analyze the given text in detail as a fact checker would. Explain your reasoning step-by-step.  Check for misleading information, false claims, biased language. If the news article is real, respond with 1 for 'True', if fake, respond with 0 for 'False'.  Structure your answer as a JSON object with the two keys 'rationale' for your analytic reasoning and 'prediction' for your final prediction.  The values for 'prediction' are binary. Either 1 for a real article or 0 for fake news. In 'rationale' you provide a string with your detailed reasoning process that led you to the decision you took.   Remember if the article contains misleading information, false claims, biased language or any other hints of disinformation your prediction should be 0 for fake news, else 1 for true news.   To summarize the JSON object looks like this: 'rationale': <your_analytic_reasoning_process>, 'prediction': <your_prediction[0,1]> Here is the article for you to analyze: Says Vice President Joe Biden ""admits that the American people are being scammed"" with the economic stimulus package.  [/INST]";0;The given text presents a claim without providing any context, evidence, or source to support it. It uses emotionally charged language by using the term 'scammed,' which can indicate bias or an attempt to manipulate the reader's opinion. Without specific details or a credible source to back up the statement, it is difficult to verify the accuracy of the claim. Additionally, the language used seems to be aiming to create a negative perception of Vice President Joe Biden. Without further information or reliable sourcing, it is not possible to determine the truthfulness of the claim.;254
8;8;12849.json;1;Donald Trump is against marriage equality. He wants to go back.;gays-and-lesbians,marriage;a speech at the Democratic National Convention;<s>[INST] You are an expert AI fact checker trained to detect fake news. Is this article real or fake news? Analyze the given text in detail as a fact checker would. Explain your reasoning step-by-step.  Check for misleading information, false claims, biased language. If the news article is real, respond with 1 for 'True', if fake, respond with 0 for 'False'.  Structure your answer as a JSON object with the two keys 'rationale' for your analytic reasoning and 'prediction' for your final prediction.  The values for 'prediction' are binary. Either 1 for a real article or 0 for fake news. In 'rationale' you provide a string with your detailed reasoning process that led you to the decision you took.   Remember if the article contains misleading information, false claims, biased language or any other hints of disinformation your prediction should be 0 for fake news, else 1 for true news.   To summarize the JSON object looks like this: 'rationale': <your_analytic_reasoning_process>, 'prediction': <your_prediction[0,1]> Here is the article for you to analyze: Donald Trump is against marriage equality. He wants to go back.  [/INST];0;The given text is very brief and lacks context or specific details to support the claim that Donald Trump is against marriage equality and wants to go back. This statement is overly simplistic and lacks evidence or specific examples to back it up. Additionally, the language used is vague and lacks credibility. Without more concrete information or sources provided, it is not possible to verify the accuracy of this claim.;244
9;9;13270.json;0;We know that more than half of Hillary Clintons meetings while she was secretary of state were given to major contributors to the Clinton Foundation.;foreign-policy;"comments on ""Meet the Press""";<s>[INST] You are an expert AI fact checker trained to detect fake news. Is this article real or fake news? Analyze the given text in detail as a fact checker would. Explain your reasoning step-by-step.  Check for misleading information, false claims, biased language. If the news article is real, respond with 1 for 'True', if fake, respond with 0 for 'False'.  Structure your answer as a JSON object with the two keys 'rationale' for your analytic reasoning and 'prediction' for your final prediction.  The values for 'prediction' are binary. Either 1 for a real article or 0 for fake news. In 'rationale' you provide a string with your detailed reasoning process that led you to the decision you took.   Remember if the article contains misleading information, false claims, biased language or any other hints of disinformation your prediction should be 0 for fake news, else 1 for true news.   To summarize the JSON object looks like this: 'rationale': <your_analytic_reasoning_process>, 'prediction': <your_prediction[0,1]> Here is the article for you to analyze: We know that more than half of Hillary Clintons meetings while she was secretary of state were given to major contributors to the Clinton Foundation.  [/INST];0;The given text contains a claim that needs to be fact-checked. The claim states that more than half of Hillary Clinton's meetings while she was secretary of state were given to major contributors to the Clinton Foundation. There is no specific source or evidence provided to support this claim, making it difficult to verify its accuracy. Additionally, the language used in the text appears biased and lacks objectivity. Without verifiable evidence or sources to back up the claim, it is not possible to confirm the accuracy of the statement.;257
10;10;6649.json;0;We know there are more Democrats in Georgia than Republicans. We know that for a fact.;elections;an article;<s>[INST] You are an expert AI fact checker trained to detect fake news. Is this article real or fake news? Analyze the given text in detail as a fact checker would. Explain your reasoning step-by-step.  Check for misleading information, false claims, biased language. If the news article is real, respond with 1 for 'True', if fake, respond with 0 for 'False'.  Structure your answer as a JSON object with the two keys 'rationale' for your analytic reasoning and 'prediction' for your final prediction.  The values for 'prediction' are binary. Either 1 for a real article or 0 for fake news. In 'rationale' you provide a string with your detailed reasoning process that led you to the decision you took.   Remember if the article contains misleading information, false claims, biased language or any other hints of disinformation your prediction should be 0 for fake news, else 1 for true news.   To summarize the JSON object looks like this: 'rationale': <your_analytic_reasoning_process>, 'prediction': <your_prediction[0,1]> Here is the article for you to analyze: We know there are more Democrats in Georgia than Republicans. We know that for a fact.  [/INST];1;The given text is a statement of known political demographics in Georgia, which can be verified through official voter registration data. It does not contain any false claims or misleading information. The statement does not exhibit biased language and does not aim to deceive the reader. Therefore, the prediction is that this is a true statement.;249
11;11;2508.json;0;PolitiFact Texas says Congressman Edwards attacks on Bill Flores are false.;ethics,message-machine;a TV ad.;<s>[INST] You are an expert AI fact checker trained to detect fake news. Is this article real or fake news? Analyze the given text in detail as a fact checker would. Explain your reasoning step-by-step.  Check for misleading information, false claims, biased language. If the news article is real, respond with 1 for 'True', if fake, respond with 0 for 'False'.  Structure your answer as a JSON object with the two keys 'rationale' for your analytic reasoning and 'prediction' for your final prediction.  The values for 'prediction' are binary. Either 1 for a real article or 0 for fake news. In 'rationale' you provide a string with your detailed reasoning process that led you to the decision you took.   Remember if the article contains misleading information, false claims, biased language or any other hints of disinformation your prediction should be 0 for fake news, else 1 for true news.   To summarize the JSON object looks like this: 'rationale': <your_analytic_reasoning_process>, 'prediction': <your_prediction[0,1]> Here is the article for you to analyze: PolitiFact Texas says Congressman Edwards attacks on Bill Flores are false.  [/INST];1;The given text is very brief and lacks specific details or context to conduct a thorough analysis. However, the mention of 'PolitiFact Texas' suggests that this might be a fact-checking organization known for verifying statements made by politicians. Without more information or specific claims being made by Congressman Edwards or Bill Flores, it is difficult to verify the accuracy of the article. Additionally, the text does not provide any evidence or reasoning to support the claim that Congressman Edwards' attacks are false. As a fact-checker, it is important to have access to the specific claims being made and the evidence to evaluate their truthfulness. Therefore, based on the limited information provided, it is not possible to determine the veracity of the article.;245
12;12;11269.json;0;Denali is the Kenyan word for black power.;environment;an image shared on Facebook;<s>[INST] You are an expert AI fact checker trained to detect fake news. Is this article real or fake news? Analyze the given text in detail as a fact checker would. Explain your reasoning step-by-step.  Check for misleading information, false claims, biased language. If the news article is real, respond with 1 for 'True', if fake, respond with 0 for 'False'.  Structure your answer as a JSON object with the two keys 'rationale' for your analytic reasoning and 'prediction' for your final prediction.  The values for 'prediction' are binary. Either 1 for a real article or 0 for fake news. In 'rationale' you provide a string with your detailed reasoning process that led you to the decision you took.   Remember if the article contains misleading information, false claims, biased language or any other hints of disinformation your prediction should be 0 for fake news, else 1 for true news.   To summarize the JSON object looks like this: 'rationale': <your_analytic_reasoning_process>, 'prediction': <your_prediction[0,1]> Here is the article for you to analyze: Denali is the Kenyan word for black power.  [/INST];0;The given text contains a factual inaccuracy. Denali is not a Kenyan word for black power. Denali is actually the name of the highest mountain peak in North America, located in Alaska, USA. Therefore, the statement in the text is misleading and incorrect, leading to the conclusion that the article is fake news.;242
13;13;11200.json;0;Says 57 percent of federal spending goes to the military and just 1 percent goes to food and agriculture, including food stamps.;federal-budget,military,poverty;a meme on social media;<s>[INST] You are an expert AI fact checker trained to detect fake news. Is this article real or fake news? Analyze the given text in detail as a fact checker would. Explain your reasoning step-by-step.  Check for misleading information, false claims, biased language. If the news article is real, respond with 1 for 'True', if fake, respond with 0 for 'False'.  Structure your answer as a JSON object with the two keys 'rationale' for your analytic reasoning and 'prediction' for your final prediction.  The values for 'prediction' are binary. Either 1 for a real article or 0 for fake news. In 'rationale' you provide a string with your detailed reasoning process that led you to the decision you took.   Remember if the article contains misleading information, false claims, biased language or any other hints of disinformation your prediction should be 0 for fake news, else 1 for true news.   To summarize the JSON object looks like this: 'rationale': <your_analytic_reasoning_process>, 'prediction': <your_prediction[0,1]> Here is the article for you to analyze: Says 57 percent of federal spending goes to the military and just 1 percent goes to food and agriculture, including food stamps.  [/INST];0;The statement in the article contains inaccurate information. According to official data, the percentage of federal spending allocated to the military is much lower than 57 percent, and the percentage going to food and agriculture, including food stamps, is significantly higher than 1 percent. This discrepancy indicates misleading information, potentially leading to a false claim.;257
14;14;8047.json;1;On residency requirements for public workers;city-government,county-government,unions;a letter;<s>[INST] You are an expert AI fact checker trained to detect fake news. Is this article real or fake news? Analyze the given text in detail as a fact checker would. Explain your reasoning step-by-step.  Check for misleading information, false claims, biased language. If the news article is real, respond with 1 for 'True', if fake, respond with 0 for 'False'.  Structure your answer as a JSON object with the two keys 'rationale' for your analytic reasoning and 'prediction' for your final prediction.  The values for 'prediction' are binary. Either 1 for a real article or 0 for fake news. In 'rationale' you provide a string with your detailed reasoning process that led you to the decision you took.   Remember if the article contains misleading information, false claims, biased language or any other hints of disinformation your prediction should be 0 for fake news, else 1 for true news.   To summarize the JSON object looks like this: 'rationale': <your_analytic_reasoning_process>, 'prediction': <your_prediction[0,1]> Here is the article for you to analyze: On residency requirements for public workers  [/INST];0;The provided text is too vague to make a clear determination on whether it is real or fake news. It lacks specific details, context, or any concrete information that can be fact-checked. The title 'On residency requirements for public workers' is very general and does not provide any specific claims or information to verify. Without additional details or content, it is not possible to assess the accuracy or truthfulness of the article.;238
15;15;4888.json;1;Says the unemployment rate for college graduates is 4.4 percent and over 10 percent for noncollege-educated.;education,jobs;a speech;<s>[INST] You are an expert AI fact checker trained to detect fake news. Is this article real or fake news? Analyze the given text in detail as a fact checker would. Explain your reasoning step-by-step.  Check for misleading information, false claims, biased language. If the news article is real, respond with 1 for 'True', if fake, respond with 0 for 'False'.  Structure your answer as a JSON object with the two keys 'rationale' for your analytic reasoning and 'prediction' for your final prediction.  The values for 'prediction' are binary. Either 1 for a real article or 0 for fake news. In 'rationale' you provide a string with your detailed reasoning process that led you to the decision you took.   Remember if the article contains misleading information, false claims, biased language or any other hints of disinformation your prediction should be 0 for fake news, else 1 for true news.   To summarize the JSON object looks like this: 'rationale': <your_analytic_reasoning_process>, 'prediction': <your_prediction[0,1]> Here is the article for you to analyze: Says the unemployment rate for college graduates is 4.4 percent and over 10 percent for noncollege-educated.  [/INST];1;The statement provided in the text is factually accurate. It mentions specific unemployment rates for college graduates (4.4 percent) and noncollege-educated individuals (over 10 percent). The language used is straightforward without any obvious misleading information, false claims, or biased language. Therefore, based on the information presented, the article appears to be real news.;254
