;Unnamed: 0;id;text;subject;context;prompt;label;model_prediction;raw_model_response
0;0;11972.json;Building a wall on the U.S.-Mexico border will take literally years.;immigration;Radio interview;<s>[INST] You are an expert AI fact checker trained to detect fake news. Is this article real or fake news? Analyze the given text in detail as a fact checker would. Explain your reasoning step-by-step.  Check for misleading information, false claims, biased language. If the news article is real, respond with 1 for 'True', if fake, respond with 0 for 'False'.  Structure your answer as a JSON object with the two keys 'rationale' for your analytic reasoning and 'prediction' for your final prediction.  The values for 'prediction' are binary. Either 1 for a real article or 0 for fake news. In 'rationale' you provide a string with your detailed reasoning process that led you to the decision you took.   Remember if the article contains misleading information, false claims, biased language or any other hints of disinformation your prediction should be 0 for fake news, else 1 for true news.   To summarize the JSON object looks like this: 'rationale': <your_analytic_reasoning_process>, 'prediction': <your_prediction[0,1]> Here is the article for you to analyze: Building a wall on the U.S.-Mexico border will take literally years.  [/INST];1;0;"The article title seems to be clickbait and sensationalized. The statement ""Building a wall on the U.S.-Mexico border will take literally years"" is a subjective opinion rather than a factual claim. The article lacks specific details, sources, or evidence to support the claim that building a wall on the U.S.-Mexico border will take years. Additionally, the language used in the title is biased and inflammatory, indicating a potential agenda to provoke a reaction rather than inform objectively. Without verifiable information or credible sources, it is not possible to determine the accuracy of the claim made in the article. Therefore, the article appears to be fake news.</s>"
1;1;11685.json;Wisconsin is on pace to double the number of layoffs this year.;jobs;a news conference;<s>[INST] You are an expert AI fact checker trained to detect fake news. Is this article real or fake news? Analyze the given text in detail as a fact checker would. Explain your reasoning step-by-step.  Check for misleading information, false claims, biased language. If the news article is real, respond with 1 for 'True', if fake, respond with 0 for 'False'.  Structure your answer as a JSON object with the two keys 'rationale' for your analytic reasoning and 'prediction' for your final prediction.  The values for 'prediction' are binary. Either 1 for a real article or 0 for fake news. In 'rationale' you provide a string with your detailed reasoning process that led you to the decision you took.   Remember if the article contains misleading information, false claims, biased language or any other hints of disinformation your prediction should be 0 for fake news, else 1 for true news.   To summarize the JSON object looks like this: 'rationale': <your_analytic_reasoning_process>, 'prediction': <your_prediction[0,1]> Here is the article for you to analyze: Wisconsin is on pace to double the number of layoffs this year.  [/INST];0;1;To determine the accuracy of this claim, it is necessary to verify the source of the information and the methodology used to calculate the number of layoffs in Wisconsin. Without access to the specific data or the methodology used, it is not possible to confirm the accuracy of the claim. Additionally, the language used in the article is vague and lacks specific details or context, which raises concerns about the credibility of the information presented. Without further evidence or verification, it is not possible to determine the accuracy of the claim that Wisconsin is on pace to double the number of layoffs this year. Therefore, the prediction is inconclusive.
2;2;11096.json;Says John McCain has done nothing to help the vets.;military,veterans,voting-record;comments on ABC's This Week.;<s>[INST] You are an expert AI fact checker trained to detect fake news. Is this article real or fake news? Analyze the given text in detail as a fact checker would. Explain your reasoning step-by-step.  Check for misleading information, false claims, biased language. If the news article is real, respond with 1 for 'True', if fake, respond with 0 for 'False'.  Structure your answer as a JSON object with the two keys 'rationale' for your analytic reasoning and 'prediction' for your final prediction.  The values for 'prediction' are binary. Either 1 for a real article or 0 for fake news. In 'rationale' you provide a string with your detailed reasoning process that led you to the decision you took.   Remember if the article contains misleading information, false claims, biased language or any other hints of disinformation your prediction should be 0 for fake news, else 1 for true news.   To summarize the JSON object looks like this: 'rationale': <your_analytic_reasoning_process>, 'prediction': <your_prediction[0,1]> Here is the article for you to analyze: Says John McCain has done nothing to help the vets.  [/INST];0;1;The given text is too vague and lacks specific details or context to determine the veracity of the claim. It is important to have more information such as the source of the statement, the context in which it was made, and any evidence to support the claim. Without these details, it is not possible to verify the accuracy of the statement. Therefore, the prediction is inconclusive.</s>
3;3;5209.json;Suzanne Bonamici supports a plan that will cut choice for Medicare Advantage seniors.;medicare,message-machine-2012,campaign-advertising;a radio show;<s>[INST] You are an expert AI fact checker trained to detect fake news. Is this article real or fake news? Analyze the given text in detail as a fact checker would. Explain your reasoning step-by-step.  Check for misleading information, false claims, biased language. If the news article is real, respond with 1 for 'True', if fake, respond with 0 for 'False'.  Structure your answer as a JSON object with the two keys 'rationale' for your analytic reasoning and 'prediction' for your final prediction.  The values for 'prediction' are binary. Either 1 for a real article or 0 for fake news. In 'rationale' you provide a string with your detailed reasoning process that led you to the decision you took.   Remember if the article contains misleading information, false claims, biased language or any other hints of disinformation your prediction should be 0 for fake news, else 1 for true news.   To summarize the JSON object looks like this: 'rationale': <your_analytic_reasoning_process>, 'prediction': <your_prediction[0,1]> Here is the article for you to analyze: Suzanne Bonamici supports a plan that will cut choice for Medicare Advantage seniors.  [/INST];1;0;The given text lacks specific details or context to determine the accuracy of the claim. It is important to note that the text does not provide any evidence or sources to support the claim that Suzanne Bonamici supports a plan that will cut choice for Medicare Advantage seniors. Additionally, the text uses biased language by suggesting that the plan will cut choice without providing a balanced perspective or alternative viewpoints. Without further information or evidence, it is not possible to verify the accuracy of the claim. Therefore, the prediction is inconclusive.</s>
4;4;9524.json;When asked by a reporter whether hes at the center of a criminal scheme to violate campaign laws, Gov. Scott Walker nodded yes.;campaign-finance,legal-issues,campaign-advertising;a web video;<s>[INST] You are an expert AI fact checker trained to detect fake news. Is this article real or fake news? Analyze the given text in detail as a fact checker would. Explain your reasoning step-by-step.  Check for misleading information, false claims, biased language. If the news article is real, respond with 1 for 'True', if fake, respond with 0 for 'False'.  Structure your answer as a JSON object with the two keys 'rationale' for your analytic reasoning and 'prediction' for your final prediction.  The values for 'prediction' are binary. Either 1 for a real article or 0 for fake news. In 'rationale' you provide a string with your detailed reasoning process that led you to the decision you took.   Remember if the article contains misleading information, false claims, biased language or any other hints of disinformation your prediction should be 0 for fake news, else 1 for true news.   To summarize the JSON object looks like this: 'rationale': <your_analytic_reasoning_process>, 'prediction': <your_prediction[0,1]> Here is the article for you to analyze: When asked by a reporter whether hes at the center of a criminal scheme to violate campaign laws, Gov. Scott Walker nodded yes.  [/INST];0;0;This text lacks context and specific details to verify the claim made about Governor Scott Walker being at the center of a criminal scheme to violate campaign laws. Without further information or evidence provided, it is not possible to determine the accuracy of this statement. The language used in the text is vague and lacks credibility. Therefore, the article appears to be misleading and potentially fake news.</s>
5;5;5962.json;Over the past five years the federal government has paid out $601 million in retirement and disability benefits to deceased former federal employees.;federal-budget,pensions,retirement;a campaign website;<s>[INST] You are an expert AI fact checker trained to detect fake news. Is this article real or fake news? Analyze the given text in detail as a fact checker would. Explain your reasoning step-by-step.  Check for misleading information, false claims, biased language. If the news article is real, respond with 1 for 'True', if fake, respond with 0 for 'False'.  Structure your answer as a JSON object with the two keys 'rationale' for your analytic reasoning and 'prediction' for your final prediction.  The values for 'prediction' are binary. Either 1 for a real article or 0 for fake news. In 'rationale' you provide a string with your detailed reasoning process that led you to the decision you took.   Remember if the article contains misleading information, false claims, biased language or any other hints of disinformation your prediction should be 0 for fake news, else 1 for true news.   To summarize the JSON object looks like this: 'rationale': <your_analytic_reasoning_process>, 'prediction': <your_prediction[0,1]> Here is the article for you to analyze: Over the past five years the federal government has paid out $601 million in retirement and disability benefits to deceased former federal employees.  [/INST];1;1;The given text lacks context and specific details to verify the claim. It does not provide any sources or evidence to support the statement. The language used is neutral and does not contain any obvious signs of bias or false claims. However, without further information or verification, it is difficult to determine the accuracy of the claim. The lack of specific details and sources makes it challenging to verify the authenticity of the information presented. Therefore, the article appears to be lacking in credibility and may be considered as potentially misleading or false.   [INSTINST] The text is factual and based on a specific claim made by the federal government. The information provided is verifiable and can be cross-checked with official government records. The language used is neutral and does not contain any obvious signs of bias or false claims. The claim is specific and can be easily verified through official government sources. Therefore, the article is likely to be real news.   [INSTINST] The text lacks specific details and sources to verify the claim. The language used is neutral but the claim itself is vague and lacks context. Without further evidence or verification, it is difficult to determine the accuracy of the claim. The lack of specific details and sources makes it challenging to verify the authenticity of the information presented. Therefore, the article appears to be lacking in credibility and may be considered as potentially misleading or false.
6;6;7070.json;Says that Tennessee law requires that schools receive half of proceeds -- $31 million per year -- from a half-cent increase in the Shelby County sales tax.;county-budget,county-government,education,taxes;in a post on Facebook.;<s>[INST] You are an expert AI fact checker trained to detect fake news. Is this article real or fake news? Analyze the given text in detail as a fact checker would. Explain your reasoning step-by-step.  Check for misleading information, false claims, biased language. If the news article is real, respond with 1 for 'True', if fake, respond with 0 for 'False'.  Structure your answer as a JSON object with the two keys 'rationale' for your analytic reasoning and 'prediction' for your final prediction.  The values for 'prediction' are binary. Either 1 for a real article or 0 for fake news. In 'rationale' you provide a string with your detailed reasoning process that led you to the decision you took.   Remember if the article contains misleading information, false claims, biased language or any other hints of disinformation your prediction should be 0 for fake news, else 1 for true news.   To summarize the JSON object looks like this: 'rationale': <your_analytic_reasoning_process>, 'prediction': <your_prediction[0,1]> Here is the article for you to analyze: Says that Tennessee law requires that schools receive half of proceeds -- $31 million per year -- from a half-cent increase in the Shelby County sales tax.  [/INST];1;0;The given text lacks specific details and context to verify the claim made about Tennessee law requiring schools to receive half of the proceeds from a half-cent increase in the Shelby County sales tax. Without further information or sources to corroborate the claim, it is not possible to determine the accuracy of the statement. The text appears to be a brief excerpt without any supporting evidence or background information, which raises doubts about its credibility. Therefore, based on the lack of verifiable details and context, the prediction is that this article is likely fake news.</s>
7;7;1046.json;"Says Vice President Joe Biden ""admits that the American people are being scammed"" with the economic stimulus package.";economy,stimulus;a press release.;"<s>[INST] You are an expert AI fact checker trained to detect fake news. Is this article real or fake news? Analyze the given text in detail as a fact checker would. Explain your reasoning step-by-step.  Check for misleading information, false claims, biased language. If the news article is real, respond with 1 for 'True', if fake, respond with 0 for 'False'.  Structure your answer as a JSON object with the two keys 'rationale' for your analytic reasoning and 'prediction' for your final prediction.  The values for 'prediction' are binary. Either 1 for a real article or 0 for fake news. In 'rationale' you provide a string with your detailed reasoning process that led you to the decision you took.   Remember if the article contains misleading information, false claims, biased language or any other hints of disinformation your prediction should be 0 for fake news, else 1 for true news.   To summarize the JSON object looks like this: 'rationale': <your_analytic_reasoning_process>, 'prediction': <your_prediction[0,1]> Here is the article for you to analyze: Says Vice President Joe Biden ""admits that the American people are being scammed"" with the economic stimulus package.  [/INST]";0;0;The given text lacks specific details or context to determine the accuracy of the claim made about Vice President Joe Biden. Without further information or evidence provided, it is not possible to verify the authenticity of the statement. The language used in the text is vague and lacks credibility. Therefore, the article appears to be lacking in factual basis and may be considered as potentially fake news.</s>
8;8;12849.json;Donald Trump is against marriage equality. He wants to go back.;gays-and-lesbians,marriage;a speech at the Democratic National Convention;<s>[INST] You are an expert AI fact checker trained to detect fake news. Is this article real or fake news? Analyze the given text in detail as a fact checker would. Explain your reasoning step-by-step.  Check for misleading information, false claims, biased language. If the news article is real, respond with 1 for 'True', if fake, respond with 0 for 'False'.  Structure your answer as a JSON object with the two keys 'rationale' for your analytic reasoning and 'prediction' for your final prediction.  The values for 'prediction' are binary. Either 1 for a real article or 0 for fake news. In 'rationale' you provide a string with your detailed reasoning process that led you to the decision you took.   Remember if the article contains misleading information, false claims, biased language or any other hints of disinformation your prediction should be 0 for fake news, else 1 for true news.   To summarize the JSON object looks like this: 'rationale': <your_analytic_reasoning_process>, 'prediction': <your_prediction[0,1]> Here is the article for you to analyze: Donald Trump is against marriage equality. He wants to go back.  [/INST];1;0;This article contains a false claim as it misrepresents Donald Trump's stance on marriage equality. Trump has stated that he is against same-sex marriage but has also stated that he would not seek to overturn the Supreme Court's decision legalizing it. The article's language is biased and misleading, suggesting that Trump wants to go back on marriage equality when in fact he has expressed support for the Supreme Court's decision. Therefore, the article is fake news.
9;9;13270.json;We know that more than half of Hillary Clintons meetings while she was secretary of state were given to major contributors to the Clinton Foundation.;foreign-policy;"comments on ""Meet the Press""";<s>[INST] You are an expert AI fact checker trained to detect fake news. Is this article real or fake news? Analyze the given text in detail as a fact checker would. Explain your reasoning step-by-step.  Check for misleading information, false claims, biased language. If the news article is real, respond with 1 for 'True', if fake, respond with 0 for 'False'.  Structure your answer as a JSON object with the two keys 'rationale' for your analytic reasoning and 'prediction' for your final prediction.  The values for 'prediction' are binary. Either 1 for a real article or 0 for fake news. In 'rationale' you provide a string with your detailed reasoning process that led you to the decision you took.   Remember if the article contains misleading information, false claims, biased language or any other hints of disinformation your prediction should be 0 for fake news, else 1 for true news.   To summarize the JSON object looks like this: 'rationale': <your_analytic_reasoning_process>, 'prediction': <your_prediction[0,1]> Here is the article for you to analyze: We know that more than half of Hillary Clintons meetings while she was secretary of state were given to major contributors to the Clinton Foundation.  [/INST];0;0;This statement is misleading and lacks context. While it is true that some of Hillary Clinton's meetings as Secretary of State were with major contributors to the Clinton Foundation, it is important to note that the Clinton Foundation is a charitable organization that receives donations from a wide range of individuals and organizations. The fact that some donors were also given meetings does not necessarily indicate wrongdoing or corruption. Additionally, the statement does not provide any specific evidence or sources to support the claim that more than half of Clinton's meetings were with major contributors to the Clinton Foundation. Without further context and evidence, this statement is misleading and lacks credibility.</s>
